series,real_fraction,mean_final,sd_final,n_seeds
extended:query_acc_all,0.5,0,1.0,0.0,0
extended:query_acc_all,0.5,1,0.9996,0.0004,0
extended:query_acc_all,0.5,2,0.9999,0.0001,0
extended:query_acc_all,0.5,3,1.0,0.0,0
extended:query_acc_all,0.5,4,0.9998,0.0001,0
extended:query_acc_all,0.5,5,1.0,0.0,0
extended:query_acc_all,1.0,0,1.0,0.0,0
extended:query_acc_all,1.0,1,0.9999,0.0001,0
extended:query_acc_all,1.0,2,0.9998,0.0002,0
extended:query_acc_all,1.0,3,0.9999,0.0001,0
extended:query_acc_all,1.0,4,1.0,0.0,0
extended:query_acc_all,1.0,5,0.9998,0.0002,0
extended:pool_label_correct,0.0,0,1.0,0.0,0
extended:pool_label_correct,0.0,1,0.9996,0.0001,0
extended:pool_label_correct,0.0,2,0.9989,0.0002,0
extended:pool_label_correct,0.0,3,0.9983,0.0003,0
extended:pool_label_correct,0.0,4,0.9975,0.0004,0
extended:pool_label_correct,0.0,5,0.9969,0.0004,0
extended:pool_label_correct,0.1,0,1.0,0.0,0
extended:pool_label_correct,0.1,1,0.9997,0.0001,0
extended:pool_label_correct,0.1,2,0.9989,0.0002,0
extended:pool_label_correct,0.1,3,0.9986,0.0,0
extended:pool_label_correct,0.1,4,0.9975,0.0003,0
extended:pool_label_correct,0.1,5,0.997,0.0007,0
extended:pool_label_correct,0.25,0,1.0,0.0,0
extended:pool_label_correct,0.25,1,0.9997,0.0,0
extended:pool_label_correct,0.25,2,0.999,0.0004,0
extended:pool_label_correct,0.25,3,0.9987,0.0005,0
extended:pool_label_correct,0.25,4,0.9983,0.0006,0
extended:pool_label_correct,0.25,5,0.9983,0.0003,0
extended:pool_label_correct,0.5,0,1.0,0.0,0
extended:pool_label_correct,0.5,1,0.9998,0.0001,0
extended:pool_label_correct,0.5,2,0.999,0.0009,0
extended:pool_label_correct,0.5,3,0.9992,0.0004,0
extended:pool_label_correct,0.5,4,0.9993,0.0002,0
extended:pool_label_correct,0.5,5,0.9993,0.0001,0
extended:pool_label_correct,1.0,0,1.0,0.0,0
extended:pool_label_correct,1.0,1,1.0,0.0,0
extended:pool_label_correct,1.0,2,1.0,0.0,0
extended:pool_label_correct,1.0,3,1.0,0.0,0
extended:pool_label_correct,1.0,4,1.0,0.0,0
extended:pool_label_correct,1.0,5,1.0,0.0,0
base:induction_best,0.0,0,0.9482,0.0141,0
base:induction_best,0.0,1,0.9732,0.0032,0
base:induction_best,0.0,2,0.9662,0.0051,0
base:induction_best,0.0,3,0.9557,0.0308,0
base:induction_best,0.0,4,0.9488,0.0299,0
base:induction_best,0.0,5,0.9577,0.0074,0
